number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_learning_rate,params_n_steps,state
0,14475.0,2025-08-27 01:50:43.853838,2025-08-27 01:51:40.001532,0 days 00:00:56.147694,0.006452213331602763,0.98671839877964,0.0005670039876369976,10,COMPLETE
1,8287.0,2025-08-27 01:51:40.002460,2025-08-27 01:52:33.180543,0 days 00:00:53.178083,0.003456332033083453,0.9819336681990768,0.000694073910144974,10,COMPLETE
2,6413.2158203125,2025-08-27 01:52:33.181152,2025-08-27 01:53:29.697960,0 days 00:00:56.516808,0.000438510315941175,0.9937259748874004,7.261951226736194e-05,10,COMPLETE
3,15406.25,2025-08-27 01:53:29.698715,2025-08-27 01:54:28.183260,0 days 00:00:58.484545,0.00019142666472789143,0.9536917937607304,0.000821841195250373,10,COMPLETE
4,9226.5,2025-08-27 01:54:28.183945,2025-08-27 01:55:26.957285,0 days 00:00:58.773340,0.012680579887031529,0.9951105891241633,0.0008893931362987666,10,COMPLETE
5,6659.77490234375,2025-08-27 01:55:26.958224,2025-08-27 01:56:21.897109,0 days 00:00:54.938885,0.003334531261552473,0.9948064269491733,2.4872954448194275e-05,20,COMPLETE
6,16330.0,2025-08-27 01:56:21.897869,2025-08-27 01:57:24.520436,0 days 00:01:02.622567,0.0022032226515834095,0.9848326959924837,4.365069923739176e-05,5,COMPLETE
7,15063.5,2025-08-27 01:57:24.521109,2025-08-27 01:58:16.115253,0 days 00:00:51.594144,0.0001203627055620068,0.9878361973902792,0.0008391185341046515,20,COMPLETE
8,16516.25,2025-08-27 01:58:16.116140,2025-08-27 01:59:12.807579,0 days 00:00:56.691439,0.0016026913527132924,0.9776109360280418,0.0003188728066899331,10,COMPLETE
9,6357.4189453125,2025-08-27 01:59:12.808449,2025-08-27 02:00:19.988292,0 days 00:01:07.179843,0.0011090812695775283,0.9737920161705444,1.1656921022945566e-05,5,COMPLETE
10,6585.0625,2025-08-27 02:00:19.989062,2025-08-27 02:01:28.650272,0 days 00:01:08.661210,0.0007723788088970315,0.9683032585128042,0.00021054049537602953,5,COMPLETE
11,7310.2451171875,2025-08-27 02:01:28.651480,2025-08-27 02:02:33.897727,0 days 00:01:05.246247,0.022928335912167763,0.9656470242910679,0.00010537933110565003,5,COMPLETE
12,5706.54833984375,2025-08-27 02:02:33.898448,2025-08-27 02:03:41.581237,0 days 00:01:07.682789,0.0009455924104291448,0.9783567856511992,4.060940498526616e-05,5,COMPLETE
13,15492.0,2025-08-27 02:03:41.582541,2025-08-27 02:04:49.467479,0 days 00:01:07.884938,0.04831553558685537,0.970175011411335,0.0001983618833692757,5,COMPLETE
14,6459.35498046875,2025-08-27 02:04:49.468246,2025-08-27 02:05:41.854944,0 days 00:00:52.386698,0.0018520474137338559,0.9588762061640683,0.0003285942654977472,20,COMPLETE
15,5665.6025390625,2025-08-27 02:05:41.855772,2025-08-27 02:06:47.304353,0 days 00:01:05.448581,0.00039618871286118014,0.9826577636584215,7.761262321265636e-05,10,COMPLETE
16,6038.609375,2025-08-27 02:06:47.305060,2025-08-27 02:08:02.140931,0 days 00:01:14.835871,0.006575530428418644,0.9770221368200428,3.1910395476850254e-05,5,COMPLETE
17,6416.0791015625,2025-08-27 02:08:02.141658,2025-08-27 02:09:12.737679,0 days 00:01:10.596021,0.0017103768088588744,0.9882392362195407,0.00016597917348860647,5,COMPLETE
18,9833.5,2025-08-27 02:09:12.738407,2025-08-27 02:10:25.350403,0 days 00:01:12.611996,0.005743596495703606,0.9620019984019035,0.00037308188177293016,10,COMPLETE
19,4410.25927734375,2025-08-27 02:10:25.351248,2025-08-27 02:11:25.296189,0 days 00:00:59.944941,0.0003597101703993927,0.9986299811976409,1.5759845834749046e-05,20,COMPLETE
