number,value,datetime_start,datetime_complete,duration,params_batch_size,params_ent_coef,params_gamma,params_learning_rate,params_n_epochs,params_n_steps,state
0,5830.447265625,2025-08-27 00:57:44.491147,2025-08-27 00:58:46.390000,0 days 00:01:01.898853,128,0.0008900171120547124,0.9960929093866866,3.904650021071654e-05,20,2048,COMPLETE
1,11921.439453125,2025-08-27 00:58:46.390956,2025-08-27 00:59:46.522397,0 days 00:01:00.131441,64,0.0004256007133458936,0.970068996523132,0.0007895092472988409,10,1024,COMPLETE
2,13156.111328125,2025-08-27 00:59:46.523164,2025-08-27 01:01:05.942218,0 days 00:01:19.419054,64,0.00013683935143501638,0.9904817288026739,0.0004661395654399054,20,1024,COMPLETE
3,5094.888671875,2025-08-27 01:01:05.942712,2025-08-27 01:01:59.766464,0 days 00:00:53.823752,128,0.00011213431043471893,0.9661379859857729,3.2932948513728284e-05,10,512,COMPLETE
4,7015.68505859375,2025-08-27 01:01:59.767198,2025-08-27 01:03:10.909580,0 days 00:01:11.142382,32,0.0002113529285042489,0.9815620143724088,8.018840870808377e-05,10,2048,COMPLETE
5,4398.7275390625,2025-08-27 01:03:10.910396,2025-08-27 01:04:10.128143,0 days 00:00:59.217747,64,0.00010534685733813614,0.993662271461673,8.539530415418956e-05,10,2048,COMPLETE
6,6422.53857421875,2025-08-27 01:04:10.128949,2025-08-27 01:05:12.132445,0 days 00:01:02.003496,64,0.00017705468551103187,0.9854940997491165,2.957046568382382e-05,5,2048,COMPLETE
7,4163.19140625,2025-08-27 01:05:12.133477,2025-08-27 01:06:06.627916,0 days 00:00:54.494439,128,0.00047463380034698055,0.9620435197149887,1.4465059771690731e-05,10,2048,COMPLETE
8,4010.21044921875,2025-08-27 01:06:06.628646,2025-08-27 01:07:11.837513,0 days 00:01:05.208867,128,0.0004212326554373627,0.9609874126509598,4.4580258730465184e-05,20,1024,COMPLETE
9,7027.09619140625,2025-08-27 01:07:11.838185,2025-08-27 01:08:13.657518,0 days 00:01:01.819333,32,0.00037012393413505927,0.9856819696861259,0.0006828874160502846,5,1024,COMPLETE
10,11355.212890625,2025-08-27 01:08:13.658404,2025-08-27 01:09:39.273513,0 days 00:01:25.615109,64,0.000202408993415622,0.9531764898196834,0.000283012255535215,20,512,COMPLETE
11,12378.037109375,2025-08-27 01:09:39.274339,2025-08-27 01:10:54.679442,0 days 00:01:15.405103,64,0.0006995275071206285,0.9758108313661116,0.0009475306314986112,20,1024,COMPLETE
12,12752.892578125,2025-08-27 01:10:54.680187,2025-08-27 01:12:09.268735,0 days 00:01:14.588548,64,0.0008918275607987794,0.9767044391446047,0.00037699470497072607,20,1024,COMPLETE
13,9382.1806640625,2025-08-27 01:12:09.269475,2025-08-27 01:13:33.619834,0 days 00:01:24.350359,64,0.0002610247620025058,0.978420161814097,0.00026902071720664365,20,1024,COMPLETE
14,8550.1171875,2025-08-27 01:13:33.620699,2025-08-27 01:14:56.917276,0 days 00:01:23.296577,64,0.0006406289398824568,0.9891897307393581,0.00028815593165360914,20,1024,COMPLETE
15,9182.3525390625,2025-08-27 01:14:56.917976,2025-08-27 01:16:13.963590,0 days 00:01:17.045614,64,0.0001454151589833532,0.9981821440769992,0.00041946748315963136,20,1024,COMPLETE
16,10153.0927734375,2025-08-27 01:16:13.964310,2025-08-27 01:17:55.459903,0 days 00:01:41.495593,32,0.0002791981021524343,0.973128847877732,0.0001506153575026447,20,1024,COMPLETE
17,6026.27392578125,2025-08-27 01:17:55.460521,2025-08-27 01:18:52.939459,0 days 00:00:57.478938,64,0.0009539025603783422,0.9824818038940942,0.00014417994418391657,5,512,COMPLETE
18,6990.4287109375,2025-08-27 01:18:52.940145,2025-08-27 01:20:07.848596,0 days 00:01:14.908451,64,0.000624185867782002,0.9912391712030272,0.0005133721055365625,20,1024,COMPLETE
19,9131.0751953125,2025-08-27 01:20:07.849171,2025-08-27 01:21:51.036958,0 days 00:01:43.187787,32,0.00013416348539667145,0.9507996149588964,0.0001690221410516881,20,1024,COMPLETE
