number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_gradient_steps,params_learning_rate,params_tau,params_train_freq,state
0,13673.0,2025-08-27 02:16:07.637479,2025-08-27 02:26:52.977523,0 days 00:10:45.340044,128,100000,0.19839821726374482,0.9733703412355603,8,0.0001343425663350319,0.01948049722363376,4,COMPLETE
1,6077.5,2025-08-27 02:26:52.978443,2025-08-27 02:30:49.274077,0 days 00:03:56.295634,256,50000,0.11748891253526332,0.9720249681513324,4,8.797460602793082e-05,0.014629051012384587,8,COMPLETE
2,8131.5,2025-08-27 02:30:49.274979,2025-08-27 02:32:29.338485,0 days 00:01:40.063506,64,50000,0.1267208693660328,0.9542515843055123,1,0.00025471578759646605,0.01447607026665753,4,COMPLETE
3,13110.0,2025-08-27 02:32:29.339271,2025-08-27 02:36:59.632805,0 days 00:04:30.293534,64,100000,0.1320405777444009,0.9523529054256638,8,0.00021387141250898986,0.01681289214015623,8,COMPLETE
4,7562.0,2025-08-27 02:36:59.633433,2025-08-27 02:41:43.964083,0 days 00:04:44.330650,64,100000,0.08202036358664848,0.9861953790399574,1,0.0005646243473242267,0.016331422454308683,1,COMPLETE
5,15075.5,2025-08-27 02:41:43.965321,2025-08-27 02:48:42.632633,0 days 00:06:58.667312,256,100000,0.03966763210579084,0.9689940360371727,8,4.123845047497921e-05,0.01826724552596795,8,COMPLETE
6,13660.0,2025-08-27 02:48:42.633262,2025-08-27 02:52:08.391887,0 days 00:03:25.758625,128,50000,0.0936263205658847,0.971782978361325,4,0.00031306844033221834,0.0189526573387325,8,COMPLETE
7,12652.1845703125,2025-08-27 02:52:08.392726,2025-08-27 03:16:37.636526,0 days 00:24:29.243800,128,100000,0.01771156766388622,0.9803592840573716,4,0.0003087963217945351,0.009419175365315923,1,COMPLETE
8,13073.75,2025-08-27 03:16:37.637398,2025-08-27 03:18:37.898798,0 days 00:02:00.261400,128,100000,0.19325701876306334,0.9818218706672531,1,0.0004114223773653955,0.007838177027954868,4,COMPLETE
9,12235.853405761718,2025-08-27 03:18:37.899696,2025-08-27 03:19:59.336983,0 days 00:01:21.437287,128,100000,0.01593629956623526,0.9839468436710768,1,1.3247046611117478e-05,0.017147575652643333,8,COMPLETE
10,6130.5,2025-08-27 03:19:59.337589,2025-08-27 03:27:03.450074,0 days 00:07:04.112485,256,50000,0.04525181458128635,0.9988959573275217,8,3.4186164048970766e-05,0.00506196579255388,8,COMPLETE
11,12037.75,2025-08-27 03:27:03.450947,2025-08-27 03:41:15.809719,0 days 00:14:12.358772,256,100000,0.1990502500445806,0.959444772806269,8,7.2706068436414e-05,0.019967999806155733,4,COMPLETE
12,11576.75,2025-08-27 03:41:15.810811,2025-08-27 03:54:53.010535,0 days 00:13:37.199724,256,100000,0.1555003205537052,0.9624729360717027,8,3.738214390899228e-05,0.011940864610401726,4,COMPLETE
13,5286.98583984375,2025-08-27 03:54:53.011626,2025-08-27 04:05:38.212591,0 days 00:10:45.200965,128,100000,0.061948369246101004,0.9658843777345014,8,2.8329717485257675e-05,0.018694317257264823,4,COMPLETE
14,13326.298828125,2025-08-27 04:05:38.213398,2025-08-27 05:00:53.458964,0 days 00:55:15.245566,256,100000,0.1603701722661315,0.9669469072580223,8,0.0001368834664923877,0.013238078815284736,1,COMPLETE
15,5536.3076171875,2025-08-27 05:00:53.460422,2025-08-27 05:06:51.679058,0 days 00:05:58.218636,128,100000,0.04601521332220759,0.992294919748769,8,1.0917572142231057e-05,0.017976032916029457,8,COMPLETE
16,4941.21240234375,2025-08-27 05:06:51.679910,2025-08-27 05:20:49.803206,0 days 00:13:58.123296,256,100000,0.16770426268992547,0.9762832879375636,8,7.017036544825898e-05,0.019881735489077953,4,COMPLETE
17,9947.25,2025-08-27 05:20:49.803888,2025-08-27 05:28:52.716986,0 days 00:08:02.913098,256,100000,0.06515218577174905,0.9762134070092866,8,0.0009195163825209599,0.015286997403655809,8,COMPLETE
18,7607.5,2025-08-27 05:28:52.717923,2025-08-27 05:38:30.268465,0 days 00:09:37.550542,128,50000,0.09598216415472655,0.9680917623788031,8,0.00014422734656901375,0.011273751103593922,4,COMPLETE
19,13565.25,2025-08-27 05:38:30.269281,2025-08-27 05:50:38.864737,0 days 00:12:08.595456,64,100000,0.03503414968023527,0.9587603475367253,4,2.3068882687263834e-05,0.015803641206420478,1,COMPLETE
