number,value,datetime_start,datetime_complete,duration,params_cg_damping,params_cg_max_steps,params_gamma,params_target_kl,state
0,10892.76953125,2025-08-27 01:26:10.240764,2025-08-27 01:27:05.735554,0 days 00:00:55.494790,0.14536777772481135,20,0.9988364304270074,0.022650202602782898,COMPLETE
1,10154.658203125,2025-08-27 01:27:05.736577,2025-08-27 01:28:03.276975,0 days 00:00:57.540398,0.046501396124826545,25,0.9598351304578103,0.0013292848904280462,COMPLETE
2,12700.681640625,2025-08-27 01:28:03.277902,2025-08-27 01:29:11.146623,0 days 00:01:07.868721,0.12392881344149384,50,0.9649856284204104,0.005406328860485219,COMPLETE
3,12606.99609375,2025-08-27 01:29:11.147258,2025-08-27 01:30:16.831175,0 days 00:01:05.683917,0.02236433045576563,50,0.9751594359111243,0.006625950795478459,COMPLETE
4,8217.6708984375,2025-08-27 01:30:16.831889,2025-08-27 01:31:14.619676,0 days 00:00:57.787787,0.12102889564545881,20,0.9535925826852487,0.0017796504852896754,COMPLETE
5,8940.638671875,2025-08-27 01:31:14.620533,2025-08-27 01:32:22.312301,0 days 00:01:07.691768,0.03320567436486549,50,0.9847570695343243,0.009929829397555432,COMPLETE
6,12214.8994140625,2025-08-27 01:32:22.312981,2025-08-27 01:33:28.440874,0 days 00:01:06.127893,0.06029389700512341,50,0.9756386523290644,0.0026775382645575353,COMPLETE
7,8041.87109375,2025-08-27 01:33:28.441463,2025-08-27 01:34:26.126328,0 days 00:00:57.684865,0.11629128025690684,30,0.9639779687722153,0.017827947801833634,COMPLETE
8,14618.427734375,2025-08-27 01:34:26.127097,2025-08-27 01:35:27.823905,0 days 00:01:01.696808,0.0678484895675181,40,0.970264233501817,0.009073257734618386,COMPLETE
9,12929.2822265625,2025-08-27 01:35:27.824810,2025-08-27 01:36:28.033673,0 days 00:01:00.208863,0.0329439775889379,25,0.9804434257116693,0.0019831306321120463,COMPLETE
10,11980.1240234375,2025-08-27 01:36:28.034468,2025-08-27 01:37:34.048721,0 days 00:01:06.014253,0.07740872328184205,40,0.9887010634450483,0.04456292415267407,COMPLETE
11,10588.458984375,2025-08-27 01:37:34.049275,2025-08-27 01:38:33.478520,0 days 00:00:59.429245,0.18737872714008724,25,0.983439471148836,0.0039078423544635825,COMPLETE
12,11306.625,2025-08-27 01:38:33.479274,2025-08-27 01:39:36.684201,0 days 00:01:03.204927,0.082703193354988,40,0.9703493001592728,0.0010393700941428352,COMPLETE
13,8321.7158203125,2025-08-27 01:39:36.684983,2025-08-27 01:40:31.157689,0 days 00:00:54.472706,0.01134837454399766,10,0.9807671381903887,0.011537776227650254,COMPLETE
14,8963.56640625,2025-08-27 01:40:31.158493,2025-08-27 01:41:28.893566,0 days 00:00:57.735073,0.07971738954654237,25,0.9939677948442376,0.0030307345321463394,COMPLETE
15,14335.578125,2025-08-27 01:41:28.894399,2025-08-27 01:42:33.872604,0 days 00:01:04.978205,0.053946632561741675,40,0.9694408803312962,0.001918647216317627,COMPLETE
16,9905.326171875,2025-08-27 01:42:33.873413,2025-08-27 01:43:38.105006,0 days 00:01:04.231593,0.055983178652980914,40,0.9693434005612316,0.004482933340505983,COMPLETE
17,10859.7666015625,2025-08-27 01:43:38.105718,2025-08-27 01:44:44.973535,0 days 00:01:06.867817,0.09396311059358776,40,0.9506234611735273,0.008508216731871942,COMPLETE
18,11635.8740234375,2025-08-27 01:44:44.974371,2025-08-27 01:45:50.719501,0 days 00:01:05.745130,0.14488740897473235,40,0.9576711991477249,0.014669724823946032,COMPLETE
19,9546.056640625,2025-08-27 01:45:50.720729,2025-08-27 01:46:43.983124,0 days 00:00:53.262395,0.06739861578852549,10,0.9698528640025599,0.03457281629961617,COMPLETE
